iter	Passed	Remaining
0	1230	614146
1	2394	596288
2	3729	617878
3	4845	600831
4	5922	586323
5	6994	575892
6	8048	566818
7	9231	567746
8	10260	559755
9	11265	551996
10	12311	547288
11	13386	544392
12	14377	538588
13	15406	534837
14	16417	530833
15	17414	526788
16	18429	523628
17	19645	526069
18	20714	524396
19	22002	528062
20	23148	528002
21	24463	531530
22	25489	528624
23	26743	530410
24	27796	528136
25	29041	529443
26	30047	526389
27	31051	523435
28	32068	520833
29	33084	518322
30	34118	516181
31	35128	513754
32	36172	511901
33	37194	509789
34	38198	507494
35	39284	506335
36	40296	504245
37	41300	502124
38	42315	500193
39	43319	498168
40	44398	497049
41	45567	496904
42	46879	498234
43	48117	498676
44	49391	499399
45	50670	500097
46	51765	498928
47	52900	498147
48	53930	496376
49	55182	496641
50	56295	495617
51	57327	493901
52	58486	493275
53	59632	492517
54	60897	492712
55	61964	491291
56	63088	490317
57	64290	489938
58	65340	488394
59	66354	486596
60	67435	485312
61	68507	483975
62	69519	482222
63	70513	480373
64	71514	478595
65	72532	476959
66	73531	475213
67	74545	473585
68	75543	471871
69	76556	470275
70	77590	468820
71	78592	467186
72	79769	466598
73	80784	465056
74	81788	463469
75	82795	461914
76	83832	460537
77	84941	459557
78	86005	458334
79	86968	456586
80	88121	455839
81	89226	454838
82	90263	453493
83	91308	452195
84	92295	450616
85	93290	449095
86	94297	447643
87	95325	446295
88	96341	444901
89	97351	443492
90	98343	442004
91	99312	440428
92	100400	439388
93	101418	438043
94	102430	436677
95	103515	435629
96	104494	434135
97	105510	432809
98	106480	431299
99	107635	430543
100	108663	429275
101	109675	427948
102	110704	426696
103	111704	425335
104	112669	423852
105	113641	422403
106	114671	421176
107	115703	419960
108	116726	418715
109	117705	417318
110	118750	416163
111	119753	414858
112	120777	413634
113	121743	412218
114	122675	410697
115	123669	409387
116	124669	408106
117	125677	406852
118	126661	405530
119	127638	404188
120	128663	403004
121	129709	401885
122	130724	400675
123	131746	399488
124	132693	398079
125	133653	396718
126	134724	395688
127	135704	394392
128	136823	393500
129	137804	392213
130	138807	390991
131	139792	389724
132	140799	388522
133	141750	387167
134	142766	385999
135	143759	384769
136	144754	383547
137	145721	382255
138	146671	380924
139	147836	380149
140	148844	378972
141	149781	377619
142	150793	376456
143	151733	375119
144	152683	373811
145	153648	372543
146	154612	371279
147	155576	370020
148	156535	368751
149	157474	367440
150	158526	366395
151	159509	365193
152	160492	363992
153	161480	362806
154	162465	361617
155	163440	360407
156	164407	359182
157	165357	357925
158	166429	356933
159	167468	355869
160	168413	354610
161	169397	353434
162	170417	352335
163	171553	351474
164	172498	350224
165	173506	349103
166	174495	347945
167	175500	346821
168	176444	345579
169	177405	344374
170	178346	343134
171	179435	342179
172	180464	341108
173	181436	339932
174	182405	338753
175	183370	337569
176	184318	336355
177	185475	335523
178	186486	334425
179	187474	333288
180	188430	332095
181	189415	330956
182	190476	329951
183	191529	328930
184	192768	328228
185	193973	327461
186	195242	326795
187	196412	325961
188	197499	324985
189	198547	323945
190	199516	322777
191	200476	321597
192	201561	320618
193	202687	319703
194	203672	318564
195	204676	317458
196	205657	316315
197	206626	315158
198	207582	313981
199	208567	312851
200	209526	311683
201	210501	310541
202	211456	309371
203	212556	308415
204	213542	307292
205	214606	306283
